SIMBAD_Type,Is_EB,Description,Notes
EmG,N/A,Emission-line galaxy,probably not the actual target
DQ*,N/A,CV DQ Her type (intermediate polar),"(likley not to be eclipsing, but it's also possible). a type of cataclysmic variable binary star system with a white dwarf and a cool main-sequence secondary star"
cC*,FALSE,Classical Cepheid (delta Cep type) ,
C*,N/A,Carbon Star ,
blu,N/A,Blue object ,
AM*,N/A,CV of AM Her type (polar),"(likley not to be eclipsing, but it's also possible) highly magnetic type of cataclysmic variable binary star system, originally known as an AM Herculis star"
XB*,,X-ray Binary | 1. TAXONOMY OF STARS | Interacting Binaries and close Common Proper Motion Systems,
BLL,,BL Lac | 4. TAXONOMY OF GALAXIES | None,
ISM,,Interstellar Medium Object | 3. INTERSTELLAR MEDIUM | None,
HII,,HII Region | 3. INTERSTELLAR MEDIUM | None,
NIR,,Near-IR Source (Î» < 3 Âµm) | 7. GENERAL SPECTRAL PROPERTIES | None,
HB*,,Horizontal Branch Star | 1. TAXONOMY OF STARS | Evolved Stars,
Ce?,FALSE,Cepheid Variable candidate | 1. TAXONOMY OF STARS | Evolved Stars,
UV,,UV-emission Source | 7. GENERAL SPECTRAL PROPERTIES | None,
WD?,,White Dwarf candidate | 1. TAXONOMY OF STARS | Evolved Stars,
Psr,,Pulsar | 1. TAXONOMY OF STARS | Massive Stars and their Remnants,
smm,,Sub-Millimetric Source | 7. GENERAL SPECTRAL PROPERTIES | None,
IG,,Interacting Galaxies | 5. SETS OF GALAXIES | None,
PN,,Planetary Nebula | 1. TAXONOMY OF STARS | Evolved Stars,
Sy1,,Seyfert 1 Galaxy | 4. TAXONOMY OF GALAXIES | None,
Q?,,Quasar candidate | 4. TAXONOMY OF GALAXIES | None,
WV*,FALSE,Type II Cepheid Variable | 1. TAXONOMY OF STARS | Evolved Stars,
RR?,FALSE,RR Lyrae Variable candidate | 1. TAXONOMY OF STARS | Evolved Stars,
RB?,,Red Giant Branch star candidate | 1. TAXONOMY OF STARS | Evolved Stars,
CV?,Cataclysmic Binary candidate | 1. TAXONOMY OF STARS | Interacting Binaries and close Common Proper Motion Systems,
AB*,,Asymptotic Giant Branch Star | 1. TAXONOMY OF STARS | Evolved Stars,
mul,,"Composite Object, Blend | 8. BLENDS, ERRORS, NOT WELL DEFINED OBJECTS | None",
Mas,,Maser | 7. GENERAL SPECTRAL PROPERTIES | None,
Ce*,FALSE,Cepheid Variable | 1. TAXONOMY OF STARS | Evolved Stars,
EmO,,Emission Object | 7. GENERAL SPECTRAL PROPERTIES | None,
No?,,Classical Nova candidate | 1. TAXONOMY OF STARS | Interacting Binaries and close Common Proper Motion Systems,
ev,,Transient Event | 7. GENERAL SPECTRAL PROPERTIES | None,
Ae*,,Herbig Ae/Be Star | 1. TAXONOMY OF STARS | Young Stellar Objects .. Pre.Main Sequence Stars.,
BD*,,Brown Dwarf | 1. TAXONOMY OF STARS | Low mass Stars and substellar Objects,
WR*,FALSE,Wolf-Rayet | 1. TAXONOMY OF STARS | Massive Stars and their Remnants,
Ir*,,Irregular Variable | 1. TAXONOMY OF STARS | Properties . variability. spectral. kinematic or environment,
TT?,,T Tauri Star candidate | 1. TAXONOMY OF STARS | Young Stellar Objects .. Pre.Main Sequence Stars.,
S*,,S Star | 1. TAXONOMY OF STARS | Evolved Stars,
pA?,,Post-AGB Star candidate | 1. TAXONOMY OF STARS | Evolved Stars,
mm,,Millimetric Radio Source | 7. GENERAL SPECTRAL PROPERTIES | None,
As*,,Association of Stars | 2. SETS OF STARS | None,
SX*,FALSE,SX Phe Variable | 1. TAXONOMY OF STARS | Main Sequence Stars,
HB?,,Horizontal Branch Star candidate | 1. TAXONOMY OF STARS | Evolved Stars,
sg*,,Evolved Supergiant | 1. TAXONOMY OF STARS | Massive Stars and their Remnants,
s?r,,Red Supergiant candidate | 1. TAXONOMY OF STARS | Massive Stars and their Remnants,
HXB,,High Mass X-ray Binary | 1. TAXONOMY OF STARS | Interacting Binaries and close Common Proper Motion Systems,
Ae?,,Herbig Ae/Be Star candidate | 1. TAXONOMY OF STARS | Young Stellar Objects .. Pre.Main Sequence Stars.,
OpC,,Open Cluster | 2. SETS OF STARS | None,
BD?,,Brown Dwarf candidate | 1. TAXONOMY OF STARS | Low mass Stars and substellar Objects,
RNe,,Reflection Nebula | 3. INTERSTELLAR MEDIUM | None,
LP?,,Long-Period Variable candidate | 1. TAXONOMY OF STARS | Evolved Stars,
AGN,,Active Galaxy Nucleus | 4. TAXONOMY OF GALAXIES | None,
HS?,,Hot Subdwarf candidate | 1. TAXONOMY OF STARS | Evolved Stars,
s*y,,Yellow Supergiant | 1. TAXONOMY OF STARS | Massive Stars and their Remnants,
Cl*,,Cluster of Stars | 2. SETS OF STARS | None,
cm,,Centimetric Radio Source | 7. GENERAL SPECTRAL PROPERTIES | None,
gam,,Gamma-ray Source | 7. GENERAL SPECTRAL PROPERTIES | None,
s?b,,Blue Supergiant candidate | 1. TAXONOMY OF STARS | Massive Stars and their Remnants,
